Radius,AveragePower
0.000000000000000000e+00,5.299073833762815625e+13
1.000000000000000000e+00,4.354920980551199951e+11
2.000000000000000000e+00,1.415065849796000061e+11
3.000000000000000000e+00,4.256786479836799622e+10
4.000000000000000000e+00,1.545412559120666504e+10
5.000000000000000000e+00,6.605444103011313438e+09
6.000000000000000000e+00,3.690879942459166050e+09
7.000000000000000000e+00,2.029536473471346855e+09
8.000000000000000000e+00,1.306029996477187872e+09
9.000000000000000000e+00,8.803866415622098446e+08
1.000000000000000000e+01,5.687648814387133121e+08
1.100000000000000000e+01,4.405962915555078387e+08
1.200000000000000000e+01,3.165380013799043894e+08
1.300000000000000000e+01,2.192359439119890332e+08
1.400000000000000000e+01,1.850788576059928536e+08
1.500000000000000000e+01,1.465488677311930358e+08
1.600000000000000000e+01,1.264516893976708502e+08
1.700000000000000000e+01,9.607356530591832101e+07
1.800000000000000000e+01,8.253130720593155921e+07
1.900000000000000000e+01,7.237658372010903060e+07
2.000000000000000000e+01,6.251845220682373643e+07
2.100000000000000000e+01,4.804000718608419597e+07
2.200000000000000000e+01,4.208065372364157438e+07
2.300000000000000000e+01,3.695492018593777716e+07
2.400000000000000000e+01,3.047491125298842043e+07
2.500000000000000000e+01,2.461162080559453741e+07
2.600000000000000000e+01,2.145505488978938758e+07
2.700000000000000000e+01,2.118702860968861356e+07
2.800000000000000000e+01,1.894548052190229297e+07
2.900000000000000000e+01,1.540078591749247350e+07
3.000000000000000000e+01,1.466263806990475580e+07
3.100000000000000000e+01,1.254499341890245490e+07
3.200000000000000000e+01,1.233263478975782171e+07
3.300000000000000000e+01,1.108416261723731831e+07
3.400000000000000000e+01,9.881160109468715265e+06
3.500000000000000000e+01,1.009404678899534233e+07
3.600000000000000000e+01,8.575881716457786039e+06
3.700000000000000000e+01,8.331852998344407417e+06
3.800000000000000000e+01,7.012242111515223049e+06
3.900000000000000000e+01,6.854298569270840846e+06
4.000000000000000000e+01,6.738905514249541797e+06
4.100000000000000000e+01,5.643471093675774522e+06
4.200000000000000000e+01,5.480300323673088104e+06
4.300000000000000000e+01,4.782429879176940769e+06
4.400000000000000000e+01,4.680344741476912983e+06
4.500000000000000000e+01,4.544695173162844032e+06
4.600000000000000000e+01,4.001898487045179121e+06
4.700000000000000000e+01,3.862045204505966976e+06
4.800000000000000000e+01,3.483147282870432362e+06
4.900000000000000000e+01,3.409678823578534648e+06
5.000000000000000000e+01,2.983928073300729971e+06
5.100000000000000000e+01,2.976257926035366487e+06
5.200000000000000000e+01,2.957842345068990253e+06
5.300000000000000000e+01,2.623558538599299267e+06
5.400000000000000000e+01,2.667288479549703188e+06
5.500000000000000000e+01,2.236172449783558026e+06
5.600000000000000000e+01,2.347909844451955054e+06
5.700000000000000000e+01,2.184350282178509049e+06
5.800000000000000000e+01,2.106344852383523714e+06
5.900000000000000000e+01,2.022049457488121232e+06
6.000000000000000000e+01,1.846366541809675982e+06
6.100000000000000000e+01,1.820447314994464628e+06
6.200000000000000000e+01,1.754617257208056515e+06
6.300000000000000000e+01,1.675330935482311063e+06
6.400000000000000000e+01,1.693723013161054580e+06
6.500000000000000000e+01,1.474409188109955285e+06
6.600000000000000000e+01,1.552970432172196219e+06
6.700000000000000000e+01,1.432703727471125545e+06
6.800000000000000000e+01,1.320650086989923613e+06
6.900000000000000000e+01,1.389821189294530312e+06
7.000000000000000000e+01,1.267154986862663878e+06
7.100000000000000000e+01,1.300542801012929995e+06
7.200000000000000000e+01,1.145296740037081297e+06
7.300000000000000000e+01,1.154333654842930846e+06
7.400000000000000000e+01,1.134909062654124806e+06
7.500000000000000000e+01,1.083723155276204227e+06
7.600000000000000000e+01,1.051013501784064807e+06
7.700000000000000000e+01,9.960361570763317868e+05
7.800000000000000000e+01,1.018320916937012342e+06
7.900000000000000000e+01,9.597669600018211640e+05
8.000000000000000000e+01,8.995540566752532031e+05
8.100000000000000000e+01,9.214131323910190258e+05
8.200000000000000000e+01,8.437290646365151042e+05
8.300000000000000000e+01,8.787451340322968317e+05
8.400000000000000000e+01,8.127293328598989174e+05
8.500000000000000000e+01,7.846544727033228846e+05
8.600000000000000000e+01,7.788263140723392135e+05
8.700000000000000000e+01,7.553404989203085424e+05
8.800000000000000000e+01,7.849850258206652943e+05
8.900000000000000000e+01,6.773273970531187952e+05
9.000000000000000000e+01,7.213717699635078898e+05
9.100000000000000000e+01,6.869295375436673639e+05
9.200000000000000000e+01,6.712666183308891486e+05
9.300000000000000000e+01,6.604349277541546617e+05
9.400000000000000000e+01,6.298532130148190772e+05
9.500000000000000000e+01,6.524547242045294261e+05
9.600000000000000000e+01,6.234460645128388423e+05
9.700000000000000000e+01,5.854561519091021037e+05
9.800000000000000000e+01,6.026122445250021992e+05
9.900000000000000000e+01,5.641388623269407544e+05
1.000000000000000000e+02,5.920097987157551106e+05
1.010000000000000000e+02,5.385717204366211081e+05
1.020000000000000000e+02,5.490882116528167389e+05
1.030000000000000000e+02,5.604408365792980185e+05
1.040000000000000000e+02,5.165120077832735260e+05
1.050000000000000000e+02,5.351430248501673341e+05
1.060000000000000000e+02,4.922816402889675228e+05
1.070000000000000000e+02,5.047806340346190264e+05
1.080000000000000000e+02,5.085899068485774915e+05
1.090000000000000000e+02,4.913003591469845269e+05
1.100000000000000000e+02,4.866532671710919822e+05
1.110000000000000000e+02,4.626347349357150379e+05
1.120000000000000000e+02,4.724495999064501957e+05
1.130000000000000000e+02,4.639847990342181874e+05
1.140000000000000000e+02,4.413116333551940625e+05
1.150000000000000000e+02,4.540066990506760194e+05
1.160000000000000000e+02,4.545782777909581782e+05
1.170000000000000000e+02,4.391958434600069886e+05
1.180000000000000000e+02,4.303231204601318459e+05
1.190000000000000000e+02,4.267183096436584019e+05
1.200000000000000000e+02,4.271164245375138125e+05
1.210000000000000000e+02,4.352289490079148673e+05
1.220000000000000000e+02,4.154827140975512448e+05
1.230000000000000000e+02,3.888678810502879787e+05
1.240000000000000000e+02,4.249551688692474854e+05
1.250000000000000000e+02,3.948875635602331022e+05
1.260000000000000000e+02,4.221632408928268705e+05
1.270000000000000000e+02,3.904335372775173746e+05
1.280000000000000000e+02,2.149001870659004780e+05
