Radius,AveragePower
0.000000000000000000e+00,5.595982863532032031e+13
1.000000000000000000e+00,3.147509401702399902e+11
2.000000000000000000e+00,1.384027609913999939e+11
3.000000000000000000e+00,5.503804408463075256e+10
4.000000000000000000e+00,2.360369849115333557e+10
5.000000000000000000e+00,1.021704394855599976e+10
6.000000000000000000e+00,5.864485672699443817e+09
7.000000000000000000e+00,3.322603887381849289e+09
8.000000000000000000e+00,1.975106348112924099e+09
9.000000000000000000e+00,1.344780921834687471e+09
1.000000000000000000e+01,9.199395793160972595e+08
1.100000000000000000e+01,7.166778446907422543e+08
1.200000000000000000e+01,5.055876223305276036e+08
1.300000000000000000e+01,3.475939982625254989e+08
1.400000000000000000e+01,2.815617338592613339e+08
1.500000000000000000e+01,2.125896904690104723e+08
1.600000000000000000e+01,1.778496334424137771e+08
1.700000000000000000e+01,1.360306761021938920e+08
1.800000000000000000e+01,1.069597586429343075e+08
1.900000000000000000e+01,8.878148374443747103e+07
2.000000000000000000e+01,7.536728489811107516e+07
2.100000000000000000e+01,5.979625265880588442e+07
2.200000000000000000e+01,5.721019075739917159e+07
2.300000000000000000e+01,5.580672739523980021e+07
2.400000000000000000e+01,4.612893784618011862e+07
2.500000000000000000e+01,3.732861756379939616e+07
2.600000000000000000e+01,3.036878148217890412e+07
2.700000000000000000e+01,2.770911683901937306e+07
2.800000000000000000e+01,2.440651764990758896e+07
2.900000000000000000e+01,2.054292167279627547e+07
3.000000000000000000e+01,1.871972819207770377e+07
3.100000000000000000e+01,1.630287841639536805e+07
3.200000000000000000e+01,1.553862375428507105e+07
3.300000000000000000e+01,1.428826322940492816e+07
3.400000000000000000e+01,1.227351552639073879e+07
3.500000000000000000e+01,1.226926511627823301e+07
3.600000000000000000e+01,1.057060233275271952e+07
3.700000000000000000e+01,9.810814316188536584e+06
3.800000000000000000e+01,8.257135270861458965e+06
3.900000000000000000e+01,7.821189980311524123e+06
4.000000000000000000e+01,7.669013591247146018e+06
4.100000000000000000e+01,6.529583358375692740e+06
4.200000000000000000e+01,6.323618066059477627e+06
4.300000000000000000e+01,5.578437575430439785e+06
4.400000000000000000e+01,5.527989075680982322e+06
4.500000000000000000e+01,5.648578304691324010e+06
4.600000000000000000e+01,5.120860589935686439e+06
4.700000000000000000e+01,5.642601619796317071e+06
4.800000000000000000e+01,5.008565908620955423e+06
4.900000000000000000e+01,4.846970855478677899e+06
5.000000000000000000e+01,3.954509939510561991e+06
5.100000000000000000e+01,3.629439572991134133e+06
5.200000000000000000e+01,3.441090705125857610e+06
5.300000000000000000e+01,3.064597646150925662e+06
5.400000000000000000e+01,3.100487227001267951e+06
5.500000000000000000e+01,2.601615100592941046e+06
5.600000000000000000e+01,2.706803347724282183e+06
5.700000000000000000e+01,2.520509297776767518e+06
5.800000000000000000e+01,2.421484223789797164e+06
5.900000000000000000e+01,2.299471410405816045e+06
6.000000000000000000e+01,2.143262528614590876e+06
6.100000000000000000e+01,2.077607199582913192e+06
6.200000000000000000e+01,1.985065927389281103e+06
6.300000000000000000e+01,1.889710007618746720e+06
6.400000000000000000e+01,2.528926437438890804e+06
6.500000000000000000e+01,1.690723065246373881e+06
6.600000000000000000e+01,1.765050785787048284e+06
6.700000000000000000e+01,1.655905219452562975e+06
6.800000000000000000e+01,1.500742393369288417e+06
6.900000000000000000e+01,1.570845756345121888e+06
7.000000000000000000e+01,1.438943874085332500e+06
7.100000000000000000e+01,1.439220462787318975e+06
7.200000000000000000e+01,1.267433801272706361e+06
7.300000000000000000e+01,1.272518689397295238e+06
7.400000000000000000e+01,1.241766758963446599e+06
7.500000000000000000e+01,1.174657031456512166e+06
7.600000000000000000e+01,1.145624326746771345e+06
7.700000000000000000e+01,1.086694545019813115e+06
7.800000000000000000e+01,1.102713143526995089e+06
7.900000000000000000e+01,1.033529794387357659e+06
8.000000000000000000e+01,9.703739136536137667e+05
8.100000000000000000e+01,9.937366025870223530e+05
8.200000000000000000e+01,9.218006192085465882e+05
8.300000000000000000e+01,9.506527591608136427e+05
8.400000000000000000e+01,8.834273345239048358e+05
8.500000000000000000e+01,8.527252466901299777e+05
8.600000000000000000e+01,8.405211556460263673e+05
8.700000000000000000e+01,8.112953423908016412e+05
8.800000000000000000e+01,8.416008168993681902e+05
8.900000000000000000e+01,7.337970473214407684e+05
9.000000000000000000e+01,8.202425396059494233e+05
9.100000000000000000e+01,7.411906724877866218e+05
9.200000000000000000e+01,7.367107365992538398e+05
9.300000000000000000e+01,7.401377207087170100e+05
9.400000000000000000e+01,7.458689482482817257e+05
9.500000000000000000e+01,8.499238803940084763e+05
9.600000000000000000e+01,8.553718404049162054e+05
9.700000000000000000e+01,7.808573367612714646e+05
9.800000000000000000e+01,7.054356660410581389e+05
9.900000000000000000e+01,6.396672635440785671e+05
1.000000000000000000e+02,6.324444253958353074e+05
1.010000000000000000e+02,5.775598125840080902e+05
1.020000000000000000e+02,5.829205725700006587e+05
1.030000000000000000e+02,6.016049202857093187e+05
1.040000000000000000e+02,5.523946379236581270e+05
1.050000000000000000e+02,5.754287800949563971e+05
1.060000000000000000e+02,5.314299386935164221e+05
1.070000000000000000e+02,5.440599643313478446e+05
1.080000000000000000e+02,5.485985522772453260e+05
1.090000000000000000e+02,5.307475908551382599e+05
1.100000000000000000e+02,5.256587531174251344e+05
1.110000000000000000e+02,5.046474850304261781e+05
1.120000000000000000e+02,5.129588140162165510e+05
1.130000000000000000e+02,5.006113141212764895e+05
1.140000000000000000e+02,4.787170144238642533e+05
1.150000000000000000e+02,4.859481607560662669e+05
1.160000000000000000e+02,4.882375102921139915e+05
