Radius,AveragePower
0.000000000000000000e+00,6.907662530731049219e+13
1.000000000000000000e+00,9.197773820989631348e+11
2.000000000000000000e+00,1.106392332359694519e+11
3.000000000000000000e+00,3.158133687736045074e+10
4.000000000000000000e+00,1.320867551705949402e+10
5.000000000000000000e+00,5.033043961902544022e+09
6.000000000000000000e+00,2.994245550032672405e+09
7.000000000000000000e+00,1.638157437387704611e+09
8.000000000000000000e+00,1.065070371412679791e+09
9.000000000000000000e+00,7.947157357232922316e+08
1.000000000000000000e+01,5.330321149429729581e+08
1.100000000000000000e+01,4.223074517412443161e+08
1.200000000000000000e+01,2.733745441059523821e+08
1.300000000000000000e+01,2.011016295592783988e+08
1.400000000000000000e+01,1.751791264615193605e+08
1.500000000000000000e+01,1.359949027444719970e+08
1.600000000000000000e+01,1.179886883114126772e+08
1.700000000000000000e+01,9.108271375757214427e+07
1.800000000000000000e+01,7.851837132911936939e+07
1.900000000000000000e+01,6.909441258719280362e+07
2.000000000000000000e+01,5.783023747457646579e+07
2.100000000000000000e+01,4.685154304492705315e+07
2.200000000000000000e+01,4.272072611242374778e+07
2.300000000000000000e+01,3.793862758642587811e+07
2.400000000000000000e+01,3.100346347778234258e+07
2.500000000000000000e+01,2.599331760077393055e+07
2.600000000000000000e+01,2.276417002674432844e+07
2.700000000000000000e+01,2.242546336927502975e+07
2.800000000000000000e+01,2.009508073106345534e+07
2.900000000000000000e+01,1.669443991655989923e+07
3.000000000000000000e+01,1.573972274834563583e+07
3.100000000000000000e+01,1.355707203249427490e+07
3.200000000000000000e+01,1.313627376787148789e+07
3.300000000000000000e+01,1.190978882595337555e+07
3.400000000000000000e+01,1.040124012548676319e+07
3.500000000000000000e+01,1.060973064829221182e+07
3.600000000000000000e+01,9.200248940628031269e+06
3.700000000000000000e+01,8.860738612142305821e+06
3.800000000000000000e+01,7.448629084265058860e+06
3.900000000000000000e+01,7.296263968118169345e+06
4.000000000000000000e+01,7.150163067681373097e+06
4.100000000000000000e+01,6.134083331584948115e+06
4.200000000000000000e+01,5.906043021368073300e+06
4.300000000000000000e+01,5.176141157293134369e+06
4.400000000000000000e+01,5.082460346717271022e+06
4.500000000000000000e+01,4.912613340609093197e+06
4.600000000000000000e+01,4.378642652779018506e+06
4.700000000000000000e+01,4.192790664739227388e+06
4.800000000000000000e+01,3.781159828143184539e+06
4.900000000000000000e+01,3.682350062251181807e+06
5.000000000000000000e+01,3.246725900531292893e+06
5.100000000000000000e+01,3.226507277872404549e+06
5.200000000000000000e+01,3.212140215657367371e+06
5.300000000000000000e+01,2.838661344525731169e+06
5.400000000000000000e+01,2.909456717254697811e+06
5.500000000000000000e+01,2.442748911579150241e+06
5.600000000000000000e+01,2.565180844834576827e+06
5.700000000000000000e+01,2.387759718158067670e+06
5.800000000000000000e+01,2.295717619900186080e+06
5.900000000000000000e+01,2.181667538654771633e+06
6.000000000000000000e+01,2.016378513313503936e+06
6.100000000000000000e+01,1.973444505872057518e+06
6.200000000000000000e+01,1.897052972629073076e+06
6.300000000000000000e+01,1.825165102822559886e+06
6.400000000000000000e+01,1.811899056501077721e+06
6.500000000000000000e+01,1.616036977915095165e+06
6.600000000000000000e+01,1.690547998041218845e+06
6.700000000000000000e+01,1.566804154093597550e+06
6.800000000000000000e+01,1.439935690418177517e+06
6.900000000000000000e+01,1.518285528139557922e+06
7.000000000000000000e+01,1.386942719045801088e+06
7.100000000000000000e+01,1.409732224276064197e+06
7.200000000000000000e+01,1.254654552212711424e+06
7.300000000000000000e+01,1.253159506896273699e+06
7.400000000000000000e+01,1.237262860275544226e+06
7.500000000000000000e+01,1.181902577019748278e+06
7.600000000000000000e+01,1.145123989302648697e+06
7.700000000000000000e+01,1.085717989353331970e+06
7.800000000000000000e+01,1.113644506006317912e+06
7.900000000000000000e+01,1.051673999773490243e+06
8.000000000000000000e+01,9.836586475917596836e+05
8.100000000000000000e+01,1.002007179401814705e+06
8.200000000000000000e+01,9.245609036229480989e+05
8.300000000000000000e+01,9.635276229380838340e+05
8.400000000000000000e+01,8.938707428346804809e+05
8.500000000000000000e+01,8.629053802102719201e+05
8.600000000000000000e+01,8.527188824310118798e+05
8.700000000000000000e+01,8.247444306953757768e+05
8.800000000000000000e+01,8.558674601947115734e+05
8.900000000000000000e+01,7.401894358821981587e+05
9.000000000000000000e+01,7.901206521739800228e+05
9.100000000000000000e+01,7.502403320539565757e+05
9.200000000000000000e+01,7.347824146492045838e+05
9.300000000000000000e+01,7.216513776712417603e+05
9.400000000000000000e+01,6.831961907113096677e+05
9.500000000000000000e+01,7.065881119658382377e+05
9.600000000000000000e+01,6.741768395357643021e+05
9.700000000000000000e+01,6.345319810442810412e+05
9.800000000000000000e+01,6.538678915049372008e+05
9.900000000000000000e+01,6.107066773631524993e+05
1.000000000000000000e+02,6.401046276901843958e+05
1.010000000000000000e+02,5.820353354878677055e+05
1.020000000000000000e+02,5.953866581490263343e+05
1.030000000000000000e+02,6.069428711184971035e+05
1.040000000000000000e+02,5.598430348331397399e+05
1.050000000000000000e+02,5.799325658989212243e+05
1.060000000000000000e+02,5.348201466865654802e+05
1.070000000000000000e+02,5.498101400157710304e+05
1.080000000000000000e+02,5.504597071779040853e+05
1.090000000000000000e+02,5.297513811978714075e+05
1.100000000000000000e+02,5.240678078924429719e+05
1.110000000000000000e+02,4.990794058997600223e+05
1.120000000000000000e+02,5.134610316119876807e+05
1.130000000000000000e+02,5.018205881794313318e+05
1.140000000000000000e+02,4.777496572971642599e+05
1.150000000000000000e+02,4.908283536252395133e+05
1.160000000000000000e+02,4.918844262993165175e+05
1.170000000000000000e+02,4.766440445823007030e+05
1.180000000000000000e+02,4.641027622505194158e+05
1.190000000000000000e+02,4.617959368176157586e+05
1.200000000000000000e+02,4.636194041093666456e+05
1.210000000000000000e+02,4.711187671479868586e+05
1.220000000000000000e+02,4.508615421586893499e+05
1.230000000000000000e+02,4.217395197106596315e+05
1.240000000000000000e+02,4.581994346786478418e+05
1.250000000000000000e+02,4.266984248555969680e+05
1.260000000000000000e+02,4.558387881980420789e+05
1.270000000000000000e+02,4.236420216942917323e+05
1.280000000000000000e+02,2.358046948398416280e+05
