Radius,AveragePower
0.000000000000000000e+00,7.791648745581445312e+13
1.000000000000000000e+00,4.882041521932224121e+11
2.000000000000000000e+00,1.568281975201214294e+11
3.000000000000000000e+00,5.862640530007730865e+10
4.000000000000000000e+00,2.067274123741537857e+10
5.000000000000000000e+00,7.709546022855488777e+09
6.000000000000000000e+00,7.041415482273347855e+09
7.000000000000000000e+00,2.478656425919429302e+09
8.000000000000000000e+00,1.859520864392016649e+09
9.000000000000000000e+00,1.136616509811651945e+09
1.000000000000000000e+01,7.139672884866974354e+08
1.100000000000000000e+01,5.794622037723965645e+08
1.200000000000000000e+01,7.221116162511492968e+08
1.300000000000000000e+01,3.034909901238268018e+08
1.400000000000000000e+01,2.470917076428626776e+08
1.500000000000000000e+01,1.947739365257650912e+08
1.600000000000000000e+01,2.016120393894721270e+08
1.700000000000000000e+01,1.249624612287672162e+08
1.800000000000000000e+01,1.087821695719676465e+08
1.900000000000000000e+01,8.618991867267218232e+07
2.000000000000000000e+01,7.516687852392321825e+07
2.100000000000000000e+01,5.997123407378620654e+07
2.200000000000000000e+01,5.412604142744073272e+07
2.300000000000000000e+01,4.775469100278619677e+07
2.400000000000000000e+01,8.684076915374390781e+07
2.500000000000000000e+01,3.382114762125385553e+07
2.600000000000000000e+01,3.246957799498017877e+07
2.700000000000000000e+01,2.905065370570940524e+07
2.800000000000000000e+01,2.542839746171824262e+07
2.900000000000000000e+01,2.168349251892836019e+07
3.000000000000000000e+01,2.069913272052968666e+07
3.100000000000000000e+01,1.712596405021682754e+07
3.200000000000000000e+01,1.680521379254528880e+07
3.300000000000000000e+01,1.963273374306854233e+07
3.400000000000000000e+01,1.298992320847415738e+07
3.500000000000000000e+01,1.315578760517423041e+07
3.600000000000000000e+01,1.219569560114247352e+07
3.700000000000000000e+01,1.052057803254337423e+07
3.800000000000000000e+01,9.102772509733177722e+06
3.900000000000000000e+01,8.769009381561568007e+06
4.000000000000000000e+01,8.509527488291759044e+06
4.100000000000000000e+01,7.274570272300354205e+06
4.200000000000000000e+01,7.241796459033502266e+06
4.300000000000000000e+01,6.151973411860760301e+06
4.400000000000000000e+01,6.008015883571513928e+06
4.500000000000000000e+01,5.946909673309596255e+06
4.600000000000000000e+01,5.177592801713646390e+06
4.700000000000000000e+01,5.013215430794663727e+06
4.800000000000000000e+01,1.099175260684989952e+07
4.900000000000000000e+01,4.435793003642629832e+06
5.000000000000000000e+01,3.922586209144730121e+06
5.100000000000000000e+01,3.944914034686550498e+06
5.200000000000000000e+01,3.832372312696052715e+06
5.300000000000000000e+01,3.758910792677827179e+06
5.400000000000000000e+01,3.555247969978312496e+06
5.500000000000000000e+01,2.946460864498362876e+06
5.600000000000000000e+01,3.079355345585016534e+06
5.700000000000000000e+01,2.875045880754162092e+06
5.800000000000000000e+01,2.714445795528420247e+06
5.900000000000000000e+01,2.614591695784119889e+06
6.000000000000000000e+01,2.512940999050457031e+06
6.100000000000000000e+01,2.334118955518845934e+06
6.200000000000000000e+01,2.243345636377159972e+06
6.300000000000000000e+01,2.158645404558754992e+06
6.400000000000000000e+01,2.831116129102976527e+06
6.500000000000000000e+01,1.899944458320556208e+06
6.600000000000000000e+01,2.008334389655944426e+06
6.700000000000000000e+01,2.387387551029351074e+06
6.800000000000000000e+01,1.688451153068439336e+06
6.900000000000000000e+01,1.766159317377919564e+06
7.000000000000000000e+01,1.603312586992834229e+06
7.100000000000000000e+01,1.639944942629454192e+06
7.200000000000000000e+01,1.620620306646759855e+06
7.300000000000000000e+01,1.442571909695322625e+06
7.400000000000000000e+01,1.410035297235915670e+06
7.500000000000000000e+01,1.373175185084048659e+06
