Radius,AveragePower
0.000000000000000000e+00,5.175963297786101562e+13
1.000000000000000000e+00,6.152557936204992676e+11
2.000000000000000000e+00,1.394273130935491028e+11
3.000000000000000000e+00,4.964849183803530121e+10
4.000000000000000000e+00,1.868371380539333725e+10
5.000000000000000000e+00,6.861374079924890518e+09
6.000000000000000000e+00,5.828177847651358604e+09
7.000000000000000000e+00,2.175894371849249840e+09
8.000000000000000000e+00,1.617786439017967939e+09
9.000000000000000000e+00,9.952968610637615919e+08
1.000000000000000000e+01,6.458880182115739584e+08
1.100000000000000000e+01,5.261172304944890141e+08
1.200000000000000000e+01,5.803777114615261555e+08
1.300000000000000000e+01,2.736432797226823568e+08
1.400000000000000000e+01,2.226588849069499671e+08
1.500000000000000000e+01,1.766084983437879384e+08
1.600000000000000000e+01,1.763299166069571376e+08
1.700000000000000000e+01,1.128428641017674506e+08
1.800000000000000000e+01,9.791729875586718321e+07
1.900000000000000000e+01,7.994076114874418080e+07
2.000000000000000000e+01,6.793790561327312887e+07
2.100000000000000000e+01,5.503859261247859150e+07
2.200000000000000000e+01,4.917424390134233236e+07
2.300000000000000000e+01,4.434557854750241339e+07
2.400000000000000000e+01,7.075283905888113379e+07
2.500000000000000000e+01,3.081197502037896961e+07
2.600000000000000000e+01,2.914660623083826154e+07
2.700000000000000000e+01,2.669592858737247065e+07
2.800000000000000000e+01,2.343850310413857177e+07
2.900000000000000000e+01,1.962656307307479158e+07
3.000000000000000000e+01,1.883983729908545688e+07
3.100000000000000000e+01,1.586487940672360919e+07
3.200000000000000000e+01,1.523051452911412157e+07
3.300000000000000000e+01,1.701144991170764714e+07
3.400000000000000000e+01,1.185412103400202468e+07
3.500000000000000000e+01,1.196090259333365411e+07
3.600000000000000000e+01,1.099708061924399249e+07
3.700000000000000000e+01,9.852806775403862819e+06
3.800000000000000000e+01,8.355461508014317602e+06
3.900000000000000000e+01,8.103301739473113790e+06
4.000000000000000000e+01,7.786458229688080959e+06
4.100000000000000000e+01,6.721048481965436600e+06
4.200000000000000000e+01,6.585840624240141362e+06
4.300000000000000000e+01,5.704081034245472401e+06
4.400000000000000000e+01,5.595597886584866792e+06
4.500000000000000000e+01,5.447267570480200462e+06
4.600000000000000000e+01,4.817963896768340841e+06
4.700000000000000000e+01,4.686526551523922011e+06
4.800000000000000000e+01,8.976380050063084811e+06
4.900000000000000000e+01,4.123385067906751297e+06
5.000000000000000000e+01,3.615354031149101909e+06
5.100000000000000000e+01,3.634924977676811628e+06
5.200000000000000000e+01,3.545799545937489253e+06
5.300000000000000000e+01,3.417216039816427976e+06
5.400000000000000000e+01,3.274965831545361783e+06
5.500000000000000000e+01,2.701145257098625880e+06
5.600000000000000000e+01,2.844663026155997999e+06
5.700000000000000000e+01,2.639775750812882558e+06
5.800000000000000000e+01,2.514212973583039828e+06
5.900000000000000000e+01,2.410334756024754141e+06
6.000000000000000000e+01,2.315608087052701507e+06
6.100000000000000000e+01,2.164099603260667995e+06
6.200000000000000000e+01,2.087649103304018266e+06
