Radius,AveragePower
0.000000000000000000e+00,6.927359034785792188e+13
1.000000000000000000e+00,3.789534249374999404e+08
2.000000000000000000e+00,3.735907131962499619e+08
3.000000000000000000e+00,3.659413130070625544e+08
4.000000000000000000e+00,3.701342106774479747e+08
5.000000000000000000e+00,3.552145853985351920e+08
6.000000000000000000e+00,3.985806149522222877e+08
7.000000000000000000e+00,3.447582226455208659e+08
8.000000000000000000e+00,3.682820647115178108e+08
9.000000000000000000e+00,3.508490941462723613e+08
1.000000000000000000e+01,3.489278100616539121e+08
1.100000000000000000e+01,3.500355584170044065e+08
1.200000000000000000e+01,3.593681090819377303e+08
1.300000000000000000e+01,3.583965062078236341e+08
1.400000000000000000e+01,3.476054842868465781e+08
1.500000000000000000e+01,3.599410247381885648e+08
1.600000000000000000e+01,3.481710769884114265e+08
1.700000000000000000e+01,3.389318963305065632e+08
1.800000000000000000e+01,3.503479548219270706e+08
1.900000000000000000e+01,3.459939173653124571e+08
2.000000000000000000e+01,3.555414484241186380e+08
2.100000000000000000e+01,3.564514934619272947e+08
2.200000000000000000e+01,3.541153454671669006e+08
2.300000000000000000e+01,3.516979028871296048e+08
2.400000000000000000e+01,3.472608578623232841e+08
2.500000000000000000e+01,3.590940858715782762e+08
2.600000000000000000e+01,3.520064773153986335e+08
2.700000000000000000e+01,3.620795451101701260e+08
2.800000000000000000e+01,3.596849111495274305e+08
2.900000000000000000e+01,3.581947229502735734e+08
3.000000000000000000e+01,3.682443640972024798e+08
3.100000000000000000e+01,3.547111094949064851e+08
3.200000000000000000e+01,3.606427270895375013e+08
3.300000000000000000e+01,3.566843865819958448e+08
3.400000000000000000e+01,3.541932764464099407e+08
3.500000000000000000e+01,3.430638043286160827e+08
3.600000000000000000e+01,3.565802904540239573e+08
3.700000000000000000e+01,3.587100527505936027e+08
3.800000000000000000e+01,3.554042881345233321e+08
3.900000000000000000e+01,3.623601858955140710e+08
4.000000000000000000e+01,3.547795132305405140e+08
4.100000000000000000e+01,3.519576905396581888e+08
4.200000000000000000e+01,3.609734837120370865e+08
4.300000000000000000e+01,3.507918995385621190e+08
4.400000000000000000e+01,3.492040640535767078e+08
4.500000000000000000e+01,3.520007740074380636e+08
4.600000000000000000e+01,3.523064910008203387e+08
4.700000000000000000e+01,3.500511676137608290e+08
4.800000000000000000e+01,3.593841922650007010e+08
4.900000000000000000e+01,3.611038744273546338e+08
5.000000000000000000e+01,3.553138705380403996e+08
5.100000000000000000e+01,3.542912703251978755e+08
5.200000000000000000e+01,3.603876145794588923e+08
5.300000000000000000e+01,3.528525685586850643e+08
5.400000000000000000e+01,3.557321667354896069e+08
5.500000000000000000e+01,3.503039644788300395e+08
5.600000000000000000e+01,3.550617954331649542e+08
5.700000000000000000e+01,3.534080089241439104e+08
5.800000000000000000e+01,3.534981397524071336e+08
5.900000000000000000e+01,3.546734802930195928e+08
6.000000000000000000e+01,3.531811496592903733e+08
6.100000000000000000e+01,3.546628902502227426e+08
6.200000000000000000e+01,3.546699862451336980e+08
6.300000000000000000e+01,3.583667641632696390e+08
6.400000000000000000e+01,3.533742774733271003e+08
6.500000000000000000e+01,3.493719319938510060e+08
6.600000000000000000e+01,3.590714362175235748e+08
6.700000000000000000e+01,3.592486065137987137e+08
6.800000000000000000e+01,3.604736677137780786e+08
6.900000000000000000e+01,3.535235550067142248e+08
7.000000000000000000e+01,3.580605740115498304e+08
7.100000000000000000e+01,3.543172495701970458e+08
7.200000000000000000e+01,3.519190500199950337e+08
7.300000000000000000e+01,3.532554355380616784e+08
7.400000000000000000e+01,3.499175273122209907e+08
7.500000000000000000e+01,3.578417985670571923e+08
7.600000000000000000e+01,3.518968457543352842e+08
7.700000000000000000e+01,3.568620063277358413e+08
7.800000000000000000e+01,3.616212422720616460e+08
7.900000000000000000e+01,3.585750174294455051e+08
8.000000000000000000e+01,3.535335706330837011e+08
8.100000000000000000e+01,3.566609650150641799e+08
8.200000000000000000e+01,3.513343085700224042e+08
8.300000000000000000e+01,3.508475611152977347e+08
8.400000000000000000e+01,3.529070133660837412e+08
8.500000000000000000e+01,3.542274091667594910e+08
8.600000000000000000e+01,3.568789755358000994e+08
8.700000000000000000e+01,3.491515100474390388e+08
8.800000000000000000e+01,3.530219432598134279e+08
8.900000000000000000e+01,3.570299386393347383e+08
9.000000000000000000e+01,3.563655341943558455e+08
9.100000000000000000e+01,3.555504727149339318e+08
9.200000000000000000e+01,3.559139136119946241e+08
9.300000000000000000e+01,3.493568311611606479e+08
9.400000000000000000e+01,3.547761264875327945e+08
9.500000000000000000e+01,3.591118411223849654e+08
9.600000000000000000e+01,3.545563694050929546e+08
9.700000000000000000e+01,3.515648793882973790e+08
9.800000000000000000e+01,3.549200748208015561e+08
9.900000000000000000e+01,3.558756700119757652e+08
1.000000000000000000e+02,3.522579345279811025e+08
1.010000000000000000e+02,3.594029168718839288e+08
1.020000000000000000e+02,3.556605552372984290e+08
1.030000000000000000e+02,3.552883652613658905e+08
